country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,194,204,217,233,248,264,270,275,280,285,294,300,311,323,336,351,366,380,396,413,434,451,472,495,519,543,569
Albania,91,94.8,98,102,107,113,121,128,134,141,148,151,155,159,160,160,160,159,160,162,164,166,169,173,177,180,184
Algeria,181,186,185,186,187,189,191,194,198,202,208,214,222,230,239,249,258,269,281,293,307,321,337,355,373,392,411
Andorra,4.51,4.9,5.26,5.6,5.82,5.88,5.97,6.16,6.39,6.62,6.78,6.93,7.13,7.55,8.18,8.65,9.12,9.62,10.1,10.5,10.8,11,11.2,11.4,11.7,11.9,12.1
Angola,127,130,133,137,141,145,148,151,154,158,163,166,169,173,178,183,190,197,206,214,223,234,245,257,270,283,297
Antigua and Barbuda,1.42,1.48,1.52,1.5,1.53,1.62,1.61,1.68,1.66,1.66,1.69,1.7,1.71,1.72,1.7,1.73,1.8,1.83,1.87,1.91,1.99,2.06,2.14,2.22,2.29,2.38,2.47
Argentina,1600,1650,1700,1760,1820,1880,1930,1970,2040,2100,2150,2210,2280,2360,2450,2540,2630,2740,2840,2960,3090,3180,3270,3370,3460,3530,3610
Armenia,141,140,147,143,137,135,135,137,143,144,149,155,155,160,168,179,191,193,204,207,206,205,202,198,198,206,208
Australia,1870,1950,2030,2130,2240,2360,2450,2540,2620,2730,2870,3000,3140,3250,3400,3550,3640,3760,3940,4170,4380,4530,4700,4860,5030,5160,5280
Austria,883,907,931,961,990,1020,1060,1100,1130,1160,1200,1230,1280,1320,1370,1410,1470,1530,1590,1650,1710,1780,1850,1900,1970,2000,2060
Azerbaijan,194,193,189,186,185,181,180,179,180,183,187,190,197,202,206,210,218,227,239,250,261,270,281,290,301,311,318
Bahamas,6.18,6.31,6.45,6.58,6.74,7.28,7.23,7.98,8.27,8.31,8.73,9.09,9.46,9.9,10,10.8,11.2,11.7,12.3,13,13.9,14.7,15.5,16.4,16.8,17.3,17.9
Bahrain,12.8,12.8,12.8,13,13.3,13.7,13.9,14.2,14.4,14.6,14.9,14.8,15,15.2,15.6,16.3,17,18,19.2,20.5,21.6,22.3,22.7,23.2,23.5,24,25
Bangladesh,2240,2310,2410,2500,2600,2720,2840,2980,3140,3140,3290,2890,2700,2620,2660,2750,2830,3070,3110,3260,3500,3720,4110,4760,5700,6150,6560
Barbados,7.82,8.2,8.46,8.24,8.14,8.52,8.49,8.46,8.38,8.34,8.42,8.39,8.45,8.61,8.6,8.87,9.25,9.61,9.9,10.3,10.9,11.3,11.7,12.1,12.4,12.8,13.2
Belarus,521,544,558,572,563,565,544,535,512,486,469,463,450,437,437,435,430,427,430,436,444,449,439,435,435,453,470
Belgium,1020,1050,1090,1120,1150,1170,1190,1200,1270,1300,1380,1460,1540,1580,1660,1740,1830,1940,2040,2170,2320,2400,2460,2510,2520,2510,2520
Belize,2.49,2.64,2.81,2.94,3.12,3.34,3.38,3.8,4.03,4.17,4.41,4.5,4.54,4.67,4.74,4.99,5.3,5.55,5.83,6.1,6.4,6.72,7.1,7.46,7.71,8.18,8.63
Benin,43.1,43.9,45,46.1,47.3,48.7,49.8,51,52.5,54.6,57.1,59.1,61.1,63.3,65.6,68.1,71.1,74.3,77.7,81.5,85.5,88.6,92,95.4,99.2,103,107
Bhutan,4.46,4.48,4.46,4.41,4.37,4.36,4.42,4.53,4.68,4.81,4.96,5.1,5.26,5.45,5.64,5.85,6.02,6.2,6.4,6.62,6.85,7.17,7.51,7.87,8.25,8.64,9.05
Bolivia,158,162,166,171,176,183,186,190,194,199,203,209,216,224,232,241,247,254,261,270,280,290,302,314,326,340,352
Bosnia and Herzegovina,262,266,263,259,256,257,262,271,282,293,304,312,322,333,344,355,370,384,398,413,428,432,440,449,458,461,465
Botswana,24.2,25,25.8,26.7,27.7,28.7,30.1,31.6,33.2,35,37,37.9,38.8,39.6,40.4,41.3,41.5,42,42.5,43,43.7,44.6,45.6,46.7,48,49.3,50.6
Brazil,4120,4280,4490,4670,4920,5190,5420,5680,5940,6320,6670,6940,7250,7630,8000,8380,8730,9060,9410,9750,10100,10500,10900,11300,11700,12200,12400
Brunei,9.36,9.67,10,10.3,10.7,11.1,11.4,11.8,12.3,12.8,13.4,14.3,15.3,16.5,17.8,19.2,20.7,22.3,24,25.7,27.6,29.6,31.7,34,36.3,39.3,42.2
Bulgaria,488,500,501,505,514,531,537,540,543,553,555,559,569,580,603,633,646,665,676,687,702,708,711,711,708,711,715
Burkina Faso,57,58.1,59.4,60.7,62,63.5,64.6,65.9,67.5,69.2,71.1,72,73.2,74.5,76,77.7,79.9,82.3,84.9,87.8,91.1,93.3,96.1,98.7,101,104,108
Burundi,40.4,41.1,41.9,42.7,43.4,44.1,44,43.7,43.5,43.2,43,43.1,43.4,44,44.9,46,47,48.3,49.6,51.2,52.9,55.1,57.5,60,62.8,65.8,68.9
Cambodia,215,225,236,247,260,273,280,287,295,302,309,317,326,336,348,361,368,377,387,397,409,420,433,446,461,477,492
Cameroon,145,147,148,150,152,154,158,163,170,178,188,192,197,202,207,212,214,217,219,222,226,230,236,242,248,256,263
Canada,4870,5150,5430,5750,6030,6360,6640,6880,7190,7470,7780,8070,8410,8730,9170,9560,9830,9860,10100,10300,10600,10900,11200,11500,11800,12100,12400
Cape Verde,7.22,7.27,7.39,7.56,7.81,8.19,8.47,8.77,8.93,9.07,9.24,9.45,9.7,10,10.3,10.6,10.8,11,11.2,11.5,11.7,12.1,12.7,13.1,13.6,14.2,14.7
Central African Republic,42.3,43.1,43.9,45.1,46.3,47.6,48.5,49.5,50.6,51.9,53.3,54.3,55.5,56.5,57.7,59,60.2,61.5,63,64.7,66.5,68.1,69.8,71.1,72.5,74,75.7
Chad,44.3,45,45.7,46.5,47.3,48.3,49.4,50.9,52.7,55.3,58,60.5,63.2,66.3,69.7,73.4,77,80.7,84.5,88.6,93.1,96.3,99.8,103,107,112,116
