country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,486,521,569,626,686,741,771,792,810,829,856,889,925,965,1010,1050,1080,1110,1130,1160,1190,1230,1280,1330,1380,1440,1510
Albania,456,462,460,459,464,478,492,514,539,561,586,599,616,629,639,649,659,667,683,697,702,707,716,729,745,764,779
Algeria,1060,1150,1120,1120,1130,1150,1080,1020,978,957,952,911,936,961,999,1070,1060,1070,1090,1100,1130,1160,1210,1250,1300,1360,1420
Andorra,14.5,15.6,16.5,17,17.1,16.8,16.8,17,17.3,17.5,17.7,17.9,18.2,19.4,21.2,22.5,23.2,24.1,24.7,25.3,25.7,26.4,27.2,27.8,28.5,29.2,29.7
Angola,277,277,278,281,284,289,289,287,286,286,287,288,289,294,298,302,311,320,331,342,354,368,385,401,419,438,457
Antigua and Barbuda,3.36,3.33,3.39,3.4,3.4,3.49,3.5,3.44,3.43,3.52,3.68,3.66,3.61,3.69,3.7,3.73,3.82,3.77,3.85,3.94,4.01,4.07,4.11,4.12,4.35,4.4,4.51
Argentina,6980,7020,7050,7050,7120,7220,7260,7230,7230,7200,7150,7090,7110,7130,7080,7030,7040,7110,7120,7100,7040,7060,7080,7090,7110,7260,7400
Armenia,760,807,852,879,888,855,842,826,822,841,834,845,845,856,879,923,965,951,979,977,952,943,922,894,909,938,933
Australia,5130,5150,5210,5240,5330,5350,5430,5440,5460,5490,5540,5620,5700,5760,5880,5920,5980,6040,6260,6450,6680,6840,7000,7250,7500,7800,8080
Austria,2640,2650,2670,2700,2690,2710,2720,2710,2720,2710,2700,2680,2720,2740,2750,2790,2820,2860,2910,2970,2990,3040,3100,3140,3160,3190,3230
Azerbaijan,885,889,931,915,918,858,830,813,801,804,800,803,818,848,859,873,908,941,1010,1050,1110,1140,1180,1230,1280,1340,1380
Bahamas,18.4,18.4,18.3,18.2,19,21,21.4,22.1,22.8,22.4,22.5,23,24.2,25.5,25.1,26.3,25.9,26.3,26.8,27.7,28.2,29.4,30,31.6,32.9,34.1,35.8
Bahrain,38.8,38.3,38.1,37.7,37.7,38.1,38.8,39.7,40.5,39.7,40.1,41.2,42,42.2,43.6,45.3,46.5,48.2,50.2,51.9,53.5,55,55.8,56.3,57.4,58.9,62.3
Bangladesh,6600,6550,6680,6780,6890,7100,7240,7320,7480,7630,8070,8170,8430,8710,9450,10300,10900,11600,12000,12600,13400,14400,15700,17100,18900,20300,21400
Barbados,18.3,18.8,19.7,20.1,20.6,20.8,20.6,20.6,20.4,20.2,20.4,20.1,19.4,19.6,19.6,20.1,20.3,20.2,20.3,20.6,20.8,21.1,21.6,22.2,22.9,23.7,24.4
Belarus,3420,3620,3830,4090,4160,4240,4170,4120,4040,3970,3810,3780,3710,3580,3520,3460,3320,3160,3140,3120,3130,3110,2920,2820,2770,2820,2880
Belgium,6350,6370,6380,6440,6380,6320,6120,5920,5920,5820,5820,5920,5950,5800,5790,5770,5730,5790,5870,5930,5970,6050,6170,6200,6160,6290,6400
Belize,6.99,7.4,8.03,8.91,9.7,10.8,11.3,12,12.7,13.3,13.9,14.6,14.7,14.8,14.8,15.2,15.6,15.8,16.4,17.2,17.6,18.1,18.8,19.6,20.6,21.5,22.4
Benin,87.8,90.2,91.9,94.2,97.8,101,105,106,109,113,119,124,129,135,141,147,153,160,167,174,182,189,196,204,211,219,226
Bhutan,9.87,9.85,9.74,9.55,9.37,9.21,8.98,9.08,9.24,9.15,9.48,9.78,10.2,10.8,11.3,11.9,12.3,12.8,13.3,14,14.6,15.3,16.1,16.9,17.8,18.7,19.6
Bolivia,251,253,257,260,264,270,267,270,272,273,274,283,295,307,319,333,340,347,356,366,377,391,405,421,436,453,469
Bosnia and Herzegovina,1360,1380,1380,1370,1360,1360,1360,1370,1400,1420,1450,1470,1500,1540,1560,1590,1620,1650,1670,1690,1720,1740,1750,1780,1820,1830,1850
Botswana,67.5,71.2,75.8,80.8,87,94.2,100,106,113,120,127,128,128,127,125,122,124,125,126,128,130,131,133,136,137,140,144
Brazil,9190,9480,9830,10100,10500,10900,11200,11600,12000,12400,12700,13000,13200,13700,14000,14300,14500,14700,14800,15000,15200,15400,15700,16100,16500,17000,17400
Brunei,16.1,16.6,17.1,17.5,17.9,18.4,18.5,18.3,18.4,18.4,18.9,20.1,21.4,22.9,24.8,27.3,29.3,31.6,33.7,35.6,37.8,40.9,43.8,46.8,50.4,54.1,57.8
Bulgaria,2680,2680,2770,2830,2890,2900,2870,2850,2810,2740,2730,2750,2790,2880,2960,3080,3130,3140,3140,3120,3120,3090,3050,3020,2960,2930,2910
Burkina Faso,103,104,105,107,108,110,110,112,114,116,119,118,119,119,120,122,125,129,133,138,143,148,153,158,164,171,177
Burundi,107,108,109,111,112,115,111,106,103,97.8,95.7,90.3,87.9,86.6,86.7,87.3,88.2,89.7,91.2,93.2,96.5,101,105,110,115,121,127
Cambodia,559,575,595,619,642,670,685,703,722,732,746,768,791,815,841,866,883,911,941,977,1010,1040,1070,1100,1140,1180,1230
Cameroon,276,283,291,300,306,314,322,334,345,360,379,390,400,413,426,441,449,462,469,477,487,498,508,520,532,546,560
Canada,10000,10100,10200,10400,10400,10600,10600,10500,10600,10700,10800,10900,11000,11200,11500,11700,11900,11700,11700,11800,11900,12100,12300,12600,13000,13500,13900
Cape Verde,13.6,14.1,14.6,15.3,16,16.7,17.2,17.7,18.4,19.3,20.3,21.1,22.1,23.2,24.4,25.5,26.1,26.6,27.2,27.9,28.6,28.1,27.4,27,26.6,26.4,26.4
Central African Republic,122,126,129,132,137,141,145,149,152,156,160,162,164,166,169,171,173,175,176,178,182,185,188,192,195,199,204
Chad,92.6,94.9,97.2,99.9,104,106,112,117,123,131,138,142,146,151,157,161,166,172,180,187,195,202,209,215,223,232,240
Chile,1190,1170,1140,1160,1200,1270,1280,1250,1250,1250,1270,1300,1330,1360,1410,1440,1470,1490,1520,1580,1650,1680,1710,1770,1790,1830,1890
China,177000,180000,185000,193000,201000,208000,218000,228000,239000,251000,264000,280000,298000,309000,326000,348000,356000,369000,386000,407000,431000,442000,457000,474000,495000,508000,519000
Colombia,1600,1700,1770,1810,1830,1870,1930,1920,1920,2020,2080,2140,2230,2200,2310,2330,2420,2400,2460,2540,2530,2500,2540,2590,2610,2660,2710
Comoros,5.08,5.19,5.31,5.43,5.56,5.71,5.72,5.76,5.72,5.59,5.58,5.55,5.6,5.59,5.7,5.81,5.98,6.14,6.33,6.52,6.71,7.03,7.32,7.63,7.97,8.34,8.75
"Congo, Dem. Rep.",590,610,633,649,678,705,738,748,767,785,811,814,809,832,830,837,861,890,932,967,1010,1060,1120,1170,1230,1290,1350
"Congo, Rep.",102,101,103,106,107,111,110,109,109,106,102,96.2,90.3,87.8,84.9,82.2,81.9,82.8,83.8,84.5,84.7,87,89.5,92.3,95.4,98.8,102
Costa Rica,134,136,140,145,149,152,158,157,158,165,167,170,171,175,176,180,180,182,185,189,196,205,213,219,225,235,244
Cote d'Ivoire,183,194,209,225,242,262,267,269,275,279,285,287,287,287,291,290,295,298,302,307,314,320,327,333,339,346,352
Croatia,2300,2320,2320,2320,2320,2340,2390,2460,2510,2530,2580,2550,2520,2500,2500,2510,2520,2510,2520,2510,2480,2470,2450,2420,2390,2370,2380
Cuba,2240,2270,2290,2290,2320,2360,2380,2400,2430,2460,2520,2560,2650,2730,2800,2870,2930,3000,3040,3080,3110,3170,3250,3330,3430,3560,3680
Cyprus,93.7,97.1,97.7,101,105,107,108,110,112,117,125,136,147,158,174,188,195,213,230,251,268,275,279,283,283,282,283
Czech Republic,5170,5140,5070,5030,4960,4940,4900,4840,4800,4770,4740,4700,4720,4720,4720,4690,4690,4700,4720,4760,4770,4720,4680,4600,4470,4380,4420
Denmark,2260,2230,2230,2240,2260,2270,2230,2200,2180,2210,2220,2250,2270,2290,2310,2330,2340,2340,2350,2350,2370,2400,2450,2460,2440,2440,2440
Djibouti,6.74,6.95,7.12,7.28,7.43,7.6,7.84,8.11,8.38,8.64,8.93,9.19,9.49,9.85,10.2,10.7,11.1,11.5,11.9,12.4,12.9,13.4,13.9,14.5,15,15.5,16.1
Dominica,5.38,5.58,5.84,5.97,6.06,6.17,6.04,6,5.95,5.97,5.94,6.04,6.12,6.17,6.11,6.3,6.39,6.51,6.65,6.87,7.07,7.17,7.29,7.55,7.89,8.02,8.55
Dominican Republic,253,265,278,292,309,325,339,352,363,375,381,383,386,390,396,405,414,421,430,441,453,465,471,487,501,518,536
Ecuador,278,287,300,311,319,336,344,353,363,370,385,401,418,428,442,458,466,477,485,496,509,515,518,519,530,545,561
Egypt,1260,1290,1310,1370,1430,1480,1530,1590,1630,1680,1730,1820,1900,1990,2060,2140,2230,2320,2440,2580,2690,2780,2840,2890,2940,3020,3100
El Salvador,112,115,118,121,124,126,131,133,136,141,148,154,159,162,164,167,170,175,180,182,186,191,199,208,211,213,217
Equatorial Guinea,14.8,14.7,14.6,14.6,14.7,14.8,15.1,15,15.2,15.4,15.8,15.8,15.7,16.1,16.4,16.9,17.4,18,18.6,19.4,20.2,21,21.8,22.7,23.9,25.2,26.4
